ABaBAbaBBabAb,BAbbABabaBBa  -> INV 
BaBAbbABabAba,BAbbABabaBBa  -> CONJ bXB
aBAbbABabAbaB,BAbbABabaBBa  -> CONJ AXa
BAbbABabAbaBa,BAbbABabaBBa  -> INV 
AbABaBAbaBBab,BAbbABabaBBa  -> MULT-L
AbABaaBBa,BAbbABabaBBa      -> INV 
AbbAAbaBa,BAbbABabaBBa      -> CONJ aXA
bbAAbaB,BAbbABabaBBa        -> CONJ BXb
bAAba,BAbbABabaBBa          -> MULT-L 
bAAbaBAbbABabaBBa,BAbbABabaBBa -> INV 
AbbABAbaBBabABaaB,BAbbABabaBBa  -> MULT-R
AbbABAbaBBabABaaB,ABaaB     -> INV 
bAAbaBAbbABabaBBa,ABaaB     -> CONJ BXb 
AAbaBAbbABabaBBab,ABaaB     -> CONJ aXA
AbaBAbbABabaBBabA,ABaaB     -> CONJ aXA
baBAbbABabaBBabAA,ABaaB     -> CONJ BXb
aBAbbABabaBBabAAb,ABaaB     -> CONJ AXa
BAbbABabaBBabAAba,ABaaB     -> MULT-L 
BAbbABabaBBa,ABaaB          -> CONJ bXB
AbbABabaBBaB,ABaaB          -> CONJ aXA
bbABabaBBaBA,ABaaB          -> CONJ BXb
bABabaBBaBAb,ABaaB          -> CONJ BXb 
ABabaBBaBAbb,ABaaB          -> INV 
BBabAbbABAba,ABaaB          -> MULT-L 
BBabAbbABaB,ABaaB           -> INV 
bAbaBBaBAbb,ABaaB           -> CONJ Bxb
AbaBBaBAbbb,ABaaB           -> CONJ aXA
baBBaBAbbbA,ABaaB           -> CONJ BXb
aBBaBAbbbAb,ABaaB           -> CONJ AXa
BBaBAbbbAba,ABaaB           -> MULT-L 
BBaBAbbbaB,ABaaB            -> CONJ bXB 
BaBAbbbaBB,ABaaB            -> CONJ bXB
aBAbbbaBBB,ABaaB            -> CONJ AXa
BAbbbaBBBa,ABaaB            -> CONJ bXB
AbbbaBBBaB,ABaaB            -> INV 
bAbbbABBBa,ABaaB            -> MULT-L 
bAbbbABBBBaaB,ABaaB         -> INV 
bAAbbbbaBBBaB,ABaaB         -> CONJ BXb
AAbbbbaBBBa,ABaaB           -> CONJ aXA
AbbbbaBBB,ABaaB             -> INV 
bbbABBBBa,ABaaB             -> MULT-L 
bbbABBBBBaaB,ABaaB          -> INV 
bAAbbbbbaBBB,ABaaB          -> MULT-R
bAAbbbbbaBBB,AbbbbaBBB      -> CONJ BXb 
AAbbbbbaBB,AbbbbaBBB        -> CONJ aXA
AbbbbbaBBA,AbbbbaBBB        -> INV 
abbABBBBBa,AbbbbaBBB        -> MULT-L 
abbABaBBB,AbbbbaBBB         -> INV  
bbbAbaBBA,AbbbbaBBB         -> CONJ AXa
AbbbAbaBB,AbbbbaBBB         -> INV 
bbABaBBBa,AbbbbaBBB         -> MULT-L 
bbABabaBBB,AbbbbaBBB        -> CONJ BXb
bABabaBB,AbbbbaBBB          -> CONJ BXb
ABabaB,AbbbbaBBB            -> CONJ BXb
BABaba,AbbbbaBBB            -> CONJ aXA
aBABab,AbbbbaBBB            -> CONJ bXB
baBABa,AbbbbaBBB            -> MULT-L 
baBAbbbaBBB,AbbbbaBBB       -> INV 
bbbABBBabAB,AbbbbaBBB       -> MULT-R 
bbbABBBabAB,AbabAB          -> INV 
baBAbbbaBBB,AbabAB          -> CONJ BXb
aBAbbbaBB,AbabAB            -> CONJ AXa
BAbbbaBBa,AbabAB            -> CONJ bXB
AbbbaBBaB,AbabAB            -> INV 
bAbbABBBa,AbabAB            -> MULT-L 
bAbbABBabAB,AbabAB          -> INV 
baBAbbaBBaB,AbabAB          -> CONJ BXb
aBAbbaBBa,AbabAB            -> CONJ AXa
BAbbaBBaa,AbabAB            -> CONJ bXB
AbbaBBaaB,AbabAB            -> INV 
bAAbbABBa,AbabAB            -> MULT-L 
bAAbbABabAB,AbabAB          -> INV 
baBAbaBBaaB,AbabAB          -> CONJ BXb
aBAbaBBaa,AbabAB            -> CONJ AXa
BAbaBBaaa,AbabAB            -> CONJ bXB
AbaBBaaaB,AbabAB            -> INV 
bAAAbbABa,AbabAB            -> MULT-L 
bAAAbbbAB,AbabAB            -> INV 
baBBBaaaB,AbabAB            -> CONJ BXb
aBBBaaa,AbabAB              -> CONJ aXA    
aaBBBaa,AbabAB              -> CONJ aXA
aaaBBBa,AbabAB              -> MULT-L 
aaaBBabAB,AbabAB            -> CONJ BXb
BaaaBBabA,AbabAB            -> CONJ AXa
ABaaaBBab,AbabAB            -> CONJ bXB
bABaaaBBa,AbabAB            -> MULT-L 
bABaaaBabAB,AbabAB          -> CONJ BXb
ABaaaBabA,AbabAB            -> CONJ AXa
AABaaaBab,AbabAB            -> CONJ bXB
bAABaaaBa,AbabAB            -> MULT-L 
bAABaaaabAB,AbabAB          -> CONJ BXb
AABaaaabA,AbabAB            -> CONJ aXA
ABaaaabAA,AbabAB            -> CONJ aXA
BaaaabAAA,AbabAB            -> CONJ bXB
aaaabAAAB,AbabAB            -> CONJ AXa
aaabAAABa,AbabAB            -> MULT-L 
aaabAAbAB,AbabAB            -> CONJ AXa
aabAAbABa,AbabAB            -> MULT-L 
aabAAbbAB,AbabAB            -> CONJ AXa
abAAbbABa,AbabAB            -> MULT-L 
abAAbbbAB,AbabAB            -> CONJ AXa
bAAbbbABa,AbabAB            -> MULT-L 
bAAbbbbAB,AbabAB            -> CONJ BXb
AAbbbbA,AbabAB              -> CONJ aXA       
AbbbbAA,AbabAB              -> INV 
aaBBBBa,AbabAB              -> MULT-L         
aaBBBabAB,AbabAB            -> INV 
baBAbbbAA,AbabAB            -> MULT-R 
baBAbbbAA,AbbbbAA           -> CONJ BXb
aBAbbbAAb,AbbbbAA           -> CONJ AXa
BAbbbAAba,AbbbbAA           -> CONJ bXB
AbbbAAbaB,AbbbbAA           -> INV 
bABaaBBBa,AbbbbAA           -> MULT-L 
bABaabAA,AbbbbAA            -> CONJ AXa
AbABaabA,AbbbbAA            -> CONJ AXa
AAbABaab,AbbbbAA            -> CONJ bXB
bAAbABaa,AbbbbAA            -> CONJ aXA
abAAbABa,AbbbbAA            -> MULT-L 
abAAbAbbbAA,AbbbbAA         -> CONJ AXa
bAAbAbbbA,AbbbbAA           -> CONJ BXb
AAbAbbbAb,AbbbbAA           -> CONJ aXA 
AbAbbbAbA,AbbbbAA           -> CONJ aXA
