pres_id,kind,nodes_1M,klass,n_cov,n_relabel,n_moved,base_solved,base_nodes,base_path,n_cov_solved,relabel_solved,moved_solved,fewer,equal,more,cov_unsolved,best_z,best_class,best_nodes,best_path,min_path,node_cut,path_cut
0,ladder,,baseline_solved,11,11,0,True,3,2,11,11,0,2,4,5,0,Yxy,relabel,2,1,1,1.5,2.0
496,ladder,,baseline_solved,110,108,2,True,4,3,110,108,2,29,20,61,0,YYYYYxyyyyyyy,relabel,3,2,2,1.33,1.5
521,ladder,,baseline_solved,143,139,4,True,5,4,143,139,4,51,21,71,0,YXyy,relabel,3,2,2,1.67,2.0
323,ladder,,baseline_solved,46,39,7,True,7,6,46,39,7,21,7,18,0,Xyyy,relabel,4,3,3,1.75,2.0
228,ladder,,baseline_solved,43,33,10,True,9,7,43,33,10,15,7,21,0,yyx,moved,4,3,3,2.25,2.33
455,ladder,,baseline_solved,85,67,18,True,10,9,85,67,18,39,9,37,0,yyyyx,moved,3,2,2,3.33,4.5
77,ladder,,baseline_solved,43,31,12,True,11,8,43,31,12,10,4,29,0,Xy,moved,7,6,6,1.57,1.33
43,ladder,,baseline_solved,36,29,7,True,13,9,36,29,7,15,1,20,0,xyX,relabel,7,6,6,1.86,1.5
141,ladder,,baseline_solved,40,31,9,True,12,10,40,31,9,6,4,30,0,yx,moved,8,7,7,1.5,1.43
48,ladder,,baseline_solved,32,27,5,True,18,11,32,27,5,8,3,21,0,Xy,moved,9,8,8,2.0,1.38
155,ladder,,baseline_solved,36,28,8,True,18,12,36,28,8,8,1,27,0,xyX,relabel,9,8,8,2.0,1.5
505,ladder,,baseline_solved,133,116,17,True,34,23,118,103,15,18,1,99,15,Yxyy,moved,15,14,14,2.27,1.64
247,ladder,,baseline_solved,55,34,21,True,46,9,55,34,21,27,3,25,0,XyyXy,relabel,9,7,7,5.11,1.29
217,ladder,,baseline_solved,43,33,10,True,57,13,43,33,10,17,3,23,0,Xyy,moved,9,7,7,6.33,1.86
201,ladder,,baseline_solved,48,39,9,True,61,15,48,39,9,24,0,24,0,Xyx,relabel,10,8,8,6.1,1.88
288,ladder,,baseline_solved,48,38,10,True,106,17,35,27,8,21,0,14,13,Xyx,relabel,12,9,9,8.83,1.89
367,ladder,,baseline_solved,70,57,13,True,83,21,64,52,12,33,0,31,6,Xyyy,relabel,25,10,10,3.32,2.1
331,ladder,,baseline_solved,65,55,10,True,93,24,65,55,10,36,3,26,0,Xyx,relabel,9,8,8,10.33,3.0
203,ladder,,baseline_solved,49,39,10,True,116,16,38,29,9,37,0,1,11,Xyy,moved,32,9,8,3.62,1.78
265,ladder,,baseline_solved,52,43,9,True,121,21,40,32,8,35,1,4,12,xyX,relabel,62,11,11,1.95,1.91
579,ladder,,baseline_solved,109,96,13,True,366,26,103,90,13,93,0,10,6,Xyyy,relabel,11,10,10,33.27,2.6
327,ladder,,baseline_solved,58,47,11,True,273,29,46,38,8,24,0,22,12,yyyx,relabel,25,16,16,10.92,1.81
333,ladder,,baseline_solved,65,51,14,True,313,35,65,51,14,50,1,14,0,YYXyyy,relabel,22,15,15,14.23,2.33
380,ladder,,baseline_solved,63,49,14,True,381,39,53,44,9,52,1,0,10,Xyyy,moved,22,15,15,17.32,2.6
546,ladder,,baseline_solved,90,77,13,True,398,24,78,66,12,46,0,32,12,Xyyyy,relabel,15,12,11,26.53,2.0
548,ladder,,baseline_solved,91,74,17,True,661,28,52,40,12,50,1,1,39,Xyyy,relabel,13,12,12,50.85,2.33
533,ladder,,baseline_solved,69,57,12,True,438,43,60,50,10,60,0,0,9,Xyyy,relabel,23,16,16,19.04,2.69
589,ladder,,baseline_solved,113,101,12,True,558,46,104,94,10,100,0,4,9,xyyyyyy,relabel,13,12,12,42.92,3.83
580,ladder,,baseline_solved,109,96,13,True,875,47,64,55,9,51,0,13,45,Xyyyyy,relabel,25,17,17,35.0,2.76
609,ladder,,flip,140,124,16,False,,,59,52,7,,,,,Xyyy,moved,37,22,22,,
538,ladder,,flip,85,75,10,False,,,35,30,5,,,,,Xyyy,relabel,13,12,12,,
606,ladder,,flip,138,124,14,False,,,56,49,7,,,,,Xyyyyy,relabel,17,14,14,,
544,ladder,,flip,89,72,17,False,,,40,29,11,,,,,xYXy,relabel,117,41,41,,
549,ladder,,flip,89,77,12,False,,,12,10,2,,,,,Xyyy,moved,226,54,47,,
543,ladder,,flip,85,69,16,False,,,19,16,3,,,,,Xyx,relabel,118,42,42,,
565,ladder,,flip,109,95,14,False,,,11,10,1,,,,,xYXy,relabel,615,99,99,,
602,ladder,,flip,134,120,14,False,,,38,35,3,,,,,YYxyyyyyyy,relabel,37,22,22,,
632,ladder,,flip,169,153,16,False,,,68,64,4,,,,,YYxyyyyyyyy,relabel,39,22,22,,
573,ladder,,never,109,93,16,False,,,0,0,0,,,,,,,,,,,
586,ladder,,flip,109,93,16,False,,,1,1,0,,,,,yyyyyx,relabel,616,100,100,,
581,ladder,,flip,109,93,16,False,,,1,1,0,,,,,Xyyyyy,relabel,632,100,100,,
575,ladder,,flip,113,96,17,False,,,10,8,2,,,,,xYXy,relabel,615,99,99,,
568,ladder,,never,108,95,13,False,,,0,0,0,,,,,,,,,,,
578,ladder,,never,115,98,17,False,,,0,0,0,,,,,,,,,,,
583,ladder,,never,116,98,18,False,,,0,0,0,,,,,,,,,,,
628,ladder,,flip,173,154,19,False,,,41,34,7,,,,,YYYYYYYxyyyyyyy,relabel,158,51,48,,
633,ladder,,flip,173,154,19,False,,,41,34,7,,,,,XYYxyy,relabel,158,51,48,,
596,ladder,,never,138,123,15,False,,,0,0,0,,,,,,,,,,,
605,ladder,,never,142,124,18,False,,,0,0,0,,,,,,,,,,,
610,ladder,,never,141,124,17,False,,,0,0,0,,,,,,,,,,,
625,ladder,,never,169,155,14,False,,,0,0,0,,,,,,,,,,,
622,ladder,,never,169,155,14,False,,,0,0,0,,,,,,,,,,,
